symbol,date,open,high,low,close

AAPL,2025-07-29,214.19,214.98,213.11,214.01
AAPL,2025-07-30,214.19,214.98,213.11,214.01
AAPL,2025-07-31,214.19,214.98,213.11,214.01
AAPL,2025-08-01,214.19,214.98,213.11,214.01
AAPL,2025-08-04,214.19,214.98,213.11,214.01
AAPL,2025-08-05,214.19,214.98,213.11,214.01
AAPL,2025-08-06,214.19,214.98,213.11,214.01
BABA,2025-07-29,121.56,122.72,120.89,121.58
BABA,2025-07-30,121.56,122.72,120.89,121.58
BABA,2025-07-31,121.56,122.72,120.89,121.58
BABA,2025-08-01,121.56,122.72,120.89,121.58
BABA,2025-08-04,121.56,122.72,120.89,121.58
BABA,2025-08-05,121.56,122.72,120.89,121.58
BABA,2025-08-06,121.56,122.72,120.89,121.58
LYFT,2025-07-29,14.43,14.58,14.17,14.24
LYFT,2025-07-30,14.43,14.58,14.17,14.24
LYFT,2025-07-31,14.43,14.58,14.17,14.24
LYFT,2025-08-01,14.43,14.58,14.17,14.24
LYFT,2025-08-04,14.43,14.58,14.17,14.24
LYFT,2025-08-05,14.43,14.58,14.17,14.24
LYFT,2025-08-06,14.43,14.58,14.17,14.24
NVDA,2025-07-29,173.66,176.02,173.19,175.41
NVDA,2025-07-30,173.66,176.02,173.19,175.41
NVDA,2025-07-31,173.66,176.02,173.19,175.41
NVDA,2025-08-01,173.66,176.02,173.19,175.41
NVDA,2025-08-04,173.66,176.02,173.19,175.41
NVDA,2025-08-05,173.66,176.02,173.19,175.41
NVDA,2025-08-06,173.66,176.02,173.19,175.41
CELH,2025-07-29,46.23,47.22,45.19,46.73
CELH,2025-07-30,46.23,47.22,45.19,46.73
CELH,2025-07-31,46.23,47.22,45.19,46.73
CELH,2025-08-01,46.23,47.22,45.19,46.73
CELH,2025-08-04,46.23,47.22,45.19,46.73
CELH,2025-08-05,46.23,47.22,45.19,46.73
CELH,2025-08-06,46.23,47.22,45.19,46.73
TSLA,2025-07-29,316.58,328.55,313.95,323.1
TSLA,2025-07-30,316.58,328.55,313.95,323.1
TSLA,2025-07-31,316.58,328.55,313.95,323.1
TSLA,2025-08-01,316.58,328.55,313.95,323.1
TSLA,2025-08-04,316.58,328.55,313.95,323.1
TSLA,2025-08-05,316.58,328.55,313.95,323.1
TSLA,2025-08-06,316.58,328.55,313.95,323.1
BA,2025-07-29,232.73,235.56,231.55,235.14
BA,2025-07-30,232.73,235.56,231.55,235.14
BA,2025-07-31,232.73,235.56,231.55,235.14
BA,2025-08-01,232.73,235.56,231.55,235.14
BA,2025-08-04,232.73,235.56,231.55,235.14
BA,2025-08-05,232.73,235.56,231.55,235.14
BA,2025-08-06,232.73,235.56,231.55,235.14
GOOGL,2025-07-29,193.22,194.12,190.79,192.6
GOOGL,2025-07-30,193.22,194.12,190.79,192.6
GOOGL,2025-07-31,193.22,194.12,190.79,192.6
GOOGL,2025-08-01,193.22,194.12,190.79,192.6
GOOGL,2025-08-04,193.22,194.12,190.79,192.6
GOOGL,2025-08-05,193.22,194.12,190.79,192.6
GOOGL,2025-08-06,193.22,194.12,190.79,192.6
AMZN,2025-07-29,232.7,233.61,231.55,232.15
AMZN,2025-07-30,232.7,233.61,231.55,232.15
AMZN,2025-07-31,232.7,233.61,231.55,232.15
AMZN,2025-08-01,232.7,233.61,231.55,232.15
AMZN,2025-08-04,232.7,233.61,231.55,232.15
AMZN,2025-08-05,232.7,233.61,231.55,232.15
AMZN,2025-08-06,232.7,233.61,231.55,232.15
AAL,2025-07-29,11.58,11.72,11.47,11.62
AAL,2025-07-30,11.58,11.72,11.47,11.62
AAL,2025-07-31,11.58,11.72,11.47,11.62
AAL,2025-08-01,11.58,11.72,11.47,11.62
AAL,2025-08-04,11.58,11.72,11.47,11.62
AAL,2025-08-05,11.58,11.72,11.47,11.62
AAL,2025-08-06,11.58,11.72,11.47,11.62
